index,db_type,db_conn,db_name,tb_name,hive_db_ods,hive_tb_ods,ext_condition,hive_db_dwd,hive_tb_dwd,patition_col_dwd,patition_col_src,weight,sync_type,status=1处理,,,,,,,,,,,,,,,,,,,,
18.0,oracle,ksa_broker_ro,HSDC,FEE_PLAN,sahm_ods,ods_ksa_broker_fee_plan_df,,sahm_dwd,dwd_sas_pub_fee_plan_df,,,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
19.0,oracle,ksa_broker_ro,HSDC,US_BRANCH_DETAIL_HOLDING_LOG,sahm_ods,ods_ksa_broker_us_branch_detail_holding_log_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_us_branch_detail_holding_log_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
20.0,oracle,ksa_broker_ro,HSDC,MONEY_DRAW,sahm_ods,ods_ksa_broker_money_draw_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_money_draw_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,部分无,部分无,部分无,部分无,,,,,,,,,,,,,,,,
21.0,oracle,ksa_oms_ro,HSDC_OMS,STOCK_TRADE_ENTRUST,sahm_ods,ods_ksa_oms_stock_trade_entrust_di,TRADE_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_stock_trade_entrust_di,ds,"from_unixtime(unix_timestamp(trade_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,无,有,无,有,,,,,,,,,,,,,,,,
24.0,oracle,ksa_broker_ro,HSDC,US_HOLDING,sahm_ods,ods_ksa_broker_us_holding_df,,sahm_dwd,dwd_sas_ast_us_holding_df,,,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
25.0,oracle,ksa_broker_ro,HSDC,ACCOUNT_OWNER_RELATE,sahm_ods,ods_ksa_broker_account_owner_relate_df,,sahm_dwd,dwd_sas_acc_account_owner_relate_df,,,10,1,1,部分无,部分无,部分无,部分无,,,,,,,,,,,,,,,,
26.0,oracle,ksa_js_ro,HSDC_JS,SECURITY_SUCCESS_ENTRUST,sahm_ods,ods_ksa_settle_security_success_entrust_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_security_success_entrust_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
27.0,oracle,ksa_js_ro,HSDC_JS,EQUITY_ACTION_PLAN,sahm_ods,ods_ksa_settle_equity_action_plan_df,,sahm_dwd,dwd_sas_agt_equity_action_plan_di,ds,ds,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
28.0,oracle,ksa_broker_ro,HSDC,EXTENDED_INTEREST_RATE,sahm_ods,ods_ksa_broker_extended_interest_rate_df,,sahm_dwd,dwd_sas_agt_extended_interest_rate_di,ds,ds,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
29.0,oracle,ksa_broker_ro,HSDC,ACCOUNT_OWNER_INFO,sahm_ods,ods_ksa_broker_account_owner_info_df,,sahm_dwd,dwd_sas_pty_account_owner_info_di,ds,ds,10,1,1,无此表,无此表,无此表,无此表,,,,,,,,,,,,,,,,
