tablename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
ods_ksa_settle_all_security_success_entrust_di,id,from_source_id,from_source_type,asset_account_id,account_owner_id,execution_report_id,security_code,security_name,security_id,price,quantity,amount,entrust_price,entrust_quantity,order_id_to_party,order_id_from_party,entrust_side,order_status,cumulative_quantity,transact_time,verify_md5,flag_bit,features,create_time,update_time,order_id,entrust_id,entrust_type,money_type,leaves_quantity,contra_broker,account_executive,trade_date,trade_match_id_from_party,entrust_way,trade_platform,market,exec_id,clear_date,money_settle_date,holding_settle_date,trade_view_id,status,from_source_no,operator_id,operator_name,login_id,balance_log_date,internal_cross,party_id,counter_party_id,price_entrust_limit,security_type,success_batch_title,settle_status,order_id_from_party2,type,orig_id,buyin_board,buyin_direction,ds,,# Partition Information,# col_name,ds
ods_ksa_settle_all_security_success_entrust_di,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,,,data_type,string
ods_ksa_settle_all_security_success_entrust_di,主键id,数据来源ID,数据来源类型,资产账户id,客户id,执行报告表记录ID,股票编码,股票ID,股票ID,该笔委托已成交价格,该笔委托已成交的数量,该笔委托已成交的金额,委托价格,委托总数量,委托订单ID(委托订单ID，我方发起的订单ID),订单ID（OCG执行的订单ID，由party方发起的订单ID）,委托类型(1:买；2:卖；3:撤单),订单状态(订单状态 1:订单部分完成;2:订单完成;3:订单取消;),累计成交数量(对于部分成交的记录),交易时间,有效签名串,位移标记,扩展json数据结构,创建时间,修改时间,订单id,委托单id,委托类型,币种,剩余数量,对手经纪,"ae,经纪人操盘人","交易日期,格式类似20171019",港交所关联匹配编号，同清算关联,委托方式,交易平台,None,None,None,None,None,成交主表ID,状态；0：正常， -99：删除,FROM_SOURCE_TYPE+幂等编号（恒生历史数据唯一编号）,操作员ID,操作员姓名,操作员登录帐号,None,交叉盘标记,席位号,对手席位号,委托属性,证券类型,纪录数据的批次标识,交收状态,交易所给的tardeId,None,None,板块标识符,buyin买卖方向,,,,comment,
tablename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ods_ksa_act_member_invitation_df,id,member_id,inviter_member_id,inviter_code,source_type,invited_node,activity_id,activity_channel,invite_biz_type,sell_client,flag_bit,status,deleted,remark,features,features_version,created_by,created_time,updated_by,updated_time,ds,,# Partition Information,# col_name,ds
ods_ksa_act_member_invitation_df,bigint,bigint,bigint,string,int,int,bigint,bigint,int,int,bigint,int,int,string,string,bigint,string,string,string,string,string,,,data_type,string
ods_ksa_act_member_invitation_df,业务自增Id,用户Id,邀请人用户ID,邀请人的码,"来源类型[1:链接邀请码,2:手填邀请码,3:顺延邀请关系]","受邀节点[1:注册,2:开户,3:转入资产]",活动id,活动渠道号,邀请业务类型[1:普通邀请业务],客户端类型,位运算符标识,"状态[0:待确认,1:已确认]","作废[0:有效,1:作废]",备注,扩展字段,扩展字段版本号,创建人,创建时间,更新人,更新时间,,,,comment,
